cpu_usage,memory_usage,disk_usage,network_latency,restart_count,probe_failures,node_cpu_pressure,node_memory_pressure,pod_age_minutes,failure_label
44.89,34.56,26.49,322.1,0,0,0,0,946,0
84.98,94.67,0.77,250.67,5,4,1,1,1449,1
24.94,16.61,66.79,476.94,0,1,0,1,556,1
29.27,87.72,59.78,328.49,2,0,1,0,26,0
10.13,20.95,28.49,273.34,1,0,0,0,1506,0
14.75,52.43,59.19,165.14,0,1,0,0,187,0
75.54,83.4,68.19,57.23,6,5,0,0,1529,1
89.44,88.94,82.94,318.87,7,1,1,1,1849,1
69.29,40.23,21.09,317.25,2,0,1,0,1324,1
96.55,36.97,43.53,158.96,3,1,0,1,104,1
27.85,16.24,76.55,423.01,0,0,0,0,794,0
94.97,98.05,64.92,215.7,6,2,1,0,1754,1
92.87,87.17,68.64,466.54,6,2,0,1,1116,1
22.77,44.81,20.27,325.28,0,1,0,0,712,1
40.31,45.2,95.23,348.33,2,4,1,0,469,0
13.61,42.27,40.51,90.66,0,0,0,0,862,0
90.82,72.19,23.99,159.15,2,3,0,0,1638,1
37.12,61.81,29.45,188.37,3,0,1,0,1052,0
79.38,89.25,30.98,433.57,6,3,1,0,1991,1
82.47,74.93,4.94,473.14,2,2,0,0,188,1
89.34,11.94,15.52,72.29,1,0,0,0,1629,0
99.03,75.62,24.1,390.7,7,1,1,1,1819,1
16.29,7.3,95.4,473.2,0,0,0,0,1313,0
52.65,32.42,19.86,330.5,1,1,0,1,1665,0
79.65,97.12,79.98,53.46,5,4,1,1,1736,1
76.19,90.08,30.39,319.61,6,1,1,1,233,1
51.43,27.67,17.06,144.98,1,0,0,0,1657,0
88.84,71.98,50.74,146.64,2,2,1,1,1049,0
50.29,51.22,50.34,304.72,1,5,0,0,537,0
13.0,61.38,77.52,334.17,3,2,0,0,1435,0
78.49,2.75,96.67,80.08,0,0,0,0,1492,0
92.27,86.46,57.08,66.44,8,3,1,1,12,1
23.21,5.28,7.16,461.87,1,0,0,0,945,0
33.89,75.42,17.9,450.81,8,0,0,0,1972,0
84.33,87.57,7.99,458.59,6,3,1,1,1607,1
90.4,81.49,8.31,295.86,3,1,1,1,1710,1
17.61,15.6,82.51,221.82,0,2,0,1,1760,0
54.98,59.03,86.27,41.83,0,0,0,0,1873,0
86.86,83.53,34.95,308.7,5,4,0,0,903,1
13.16,63.16,79.9,19.9,6,0,1,0,241,0
86.34,76.24,39.88,285.57,6,4,0,1,565,1
96.62,77.46,28.94,378.04,6,2,0,0,267,1
77.85,91.6,18.47,403.62,7,5,0,1,642,1
51.18,2.98,1.49,482.14,1,0,0,0,15,0
59.23,40.86,77.91,478.38,1,2,0,0,734,1
38.3,28.46,65.34,378.86,1,0,0,0,249,0
16.55,14.07,58.74,133.76,0,1,0,0,1338,0
18.81,28.41,39.25,285.51,1,0,0,0,1794,0
34.32,0.27,41.56,219.0,5,0,0,0,1781,0
92.56,96.5,94.69,338.02,3,2,1,0,592,1
83.34,83.86,77.81,364.64,4,1,1,1,1814,1
97.55,84.23,87.73,215.18,7,4,1,0,997,1
39.44,28.54,44.04,353.96,3,0,0,1,1723,0
40.57,33.78,34.01,144.61,0,0,0,0,1070,0
3.98,18.07,61.62,435.25,0,0,0,0,961,0
84.74,61.56,29.44,311.87,0,1,1,0,1010,0
89.5,89.66,26.11,385.27,5,3,1,0,1684,1
96.02,76.02,48.08,226.86,3,4,0,1,1001,1
23.75,97.77,47.88,379.34,2,0,1,0,319,1
86.36,93.55,40.49,23.03,5,2,1,1,848,1
20.59,9.18,43.19,297.36,1,0,0,0,841,0
10.6,8.09,54.12,96.78,0,0,1,1,962,0
79.96,90.04,5.77,135.59,7,2,1,1,764,1
76.74,0.16,12.16,53.96,1,0,1,0,317,0
29.55,54.47,72.5,152.85,0,0,0,0,940,0
13.53,13.55,42.86,188.08,4,1,0,0,1180,0
80.43,93.94,60.01,89.22,8,4,0,1,832,1
88.75,12.11,69.08,345.18,1,0,1,0,35,1
30.55,22.2,82.34,417.04,0,0,0,0,467,0
60.43,73.08,68.07,245.72,0,0,1,0,301,0
99.36,95.34,21.68,71.51,4,4,1,1,867,1
82.2,17.16,14.43,46.96,6,0,1,0,1749,1
78.03,75.65,62.81,421.91,4,4,1,0,573,1
52.23,30.81,33.29,252.38,4,4,1,0,1749,1
44.62,6.44,29.5,316.71,2,0,0,0,1214,0
38.37,17.35,52.65,366.28,1,0,0,0,981,0
23.98,19.88,67.56,268.92,0,0,0,0,1570,0
54.82,49.87,60.89,242.53,0,0,0,1,48,0
82.87,99.76,12.86,143.69,7,5,1,1,1794,1
67.65,55.58,78.28,170.06,0,0,0,0,854,0
96.41,89.78,90.22,298.28,3,3,0,1,841,1
77.51,49.59,65.11,263.12,2,0,0,1,1033,1
98.43,84.47,1.26,72.12,3,1,0,0,946,1
52.67,23.22,36.28,377.51,0,0,0,0,1607,0
39.22,27.32,27.68,293.05,0,1,1,0,1346,1
64.73,97.09,32.5,41.58,0,0,0,0,1632,0
77.24,84.27,25.06,277.85,2,4,1,1,177,1
22.48,85.06,85.77,164.23,0,0,0,0,1829,0
90.95,85.0,15.13,131.6,2,5,0,0,1799,1
1.03,40.14,92.38,201.65,1,1,0,0,117,0
84.27,92.82,63.44,80.03,7,3,0,1,1535,1
53.66,25.45,25.01,368.39,1,5,1,0,336,1
13.88,59.02,42.28,288.75,2,3,0,1,599,1
65.48,51.76,4.73,407.82,1,0,0,0,1778,0
66.57,30.81,95.46,476.22,5,2,0,0,796,0
12.41,94.26,92.48,452.65,0,0,0,0,818,1
65.37,57.28,75.52,221.76,0,0,0,0,201,0
84.56,88.36,31.08,195.01,8,1,1,1,1649,1
17.16,44.06,88.43,294.52,0,0,0,0,1426,1
98.21,99.76,78.59,62.1,6,2,1,1,598,1
1.01,75.2,64.38,378.93,1,2,1,0,830,0
20.87,64.68,83.27,14.34,0,0,0,0,1367,0
88.01,84.55,48.78,120.37,0,0,0,0,317,0
34.96,94.18,86.51,467.07,3,0,0,0,1279,1
90.06,17.67,78.46,344.35,0,1,1,0,1979,1
96.45,49.49,87.78,288.96,0,0,1,1,699,0
35.66,40.2,26.46,389.13,0,0,0,0,208,0
82.24,85.16,90.29,157.82,0,0,0,0,1656,0
76.58,85.66,16.78,61.44,5,2,0,0,34,0
84.61,96.67,71.59,298.85,7,1,1,1,951,1
97.83,94.1,13.03,89.54,2,3,0,1,1024,1
76.53,70.85,97.75,432.68,2,1,1,1,645,1
21.08,20.88,71.55,231.78,0,0,0,0,89,0
57.8,90.31,12.51,479.39,0,1,0,0,2000,0
83.8,82.43,13.04,450.22,5,5,0,1,1036,1
89.41,78.01,71.44,421.43,7,4,0,0,642,1
92.16,45.16,25.83,335.27,0,0,0,1,1050,0
35.49,31.38,32.43,24.33,2,1,1,0,1380,1
71.62,13.2,95.09,243.28,1,0,0,1,1121,0
62.2,39.98,80.23,331.34,0,0,0,1,1479,1
7.88,65.31,75.54,102.81,0,1,0,0,1282,0
21.41,9.31,17.04,293.53,0,0,0,0,662,0
33.88,16.68,35.01,270.69,0,0,0,0,1836,0
7.0,24.13,21.23,51.24,1,1,0,1,32,0
78.67,79.83,23.41,137.74,4,2,1,1,608,1
89.39,70.27,81.46,45.21,6,2,1,1,738,1
53.13,3.55,73.41,465.68,0,1,0,0,1503,0
89.26,53.09,98.88,108.7,0,3,0,0,1704,0
47.24,82.28,0.76,436.57,1,1,0,0,1484,0
30.84,55.5,52.29,70.26,1,0,0,1,1419,1
83.83,83.6,32.74,459.3,4,2,1,1,57,1
75.3,34.8,77.31,191.42,0,1,0,0,819,0
38.88,65.25,67.49,304.98,0,0,0,0,1657,0
67.55,70.29,89.72,316.87,1,1,1,0,242,0
0.36,6.67,37.25,249.89,0,0,0,0,1068,0
49.25,51.52,93.28,392.77,0,0,0,0,320,1
91.58,72.16,39.21,88.03,5,5,1,0,93,1
4.89,0.65,11.78,32.13,0,0,0,0,394,0
85.23,76.01,58.68,460.59,0,0,0,0,566,0
47.93,23.15,43.03,329.53,0,0,0,0,955,0
21.64,52.41,38.99,195.71,0,0,0,0,1543,0
89.12,84.14,68.94,388.76,0,2,1,0,771,1
83.99,77.06,54.17,357.78,4,1,1,1,439,0
77.4,90.41,0.74,440.27,8,4,1,1,1694,1
99.73,70.38,79.21,499.45,8,1,1,0,132,1
3.95,46.97,33.62,306.56,1,0,0,0,1159,0
97.63,87.75,36.51,234.05,3,5,0,1,690,1
63.17,81.86,50.84,410.05,1,0,0,0,346,0
93.55,2.88,46.56,171.45,1,2,0,0,459,1
94.87,78.84,51.37,145.41,2,1,0,1,516,1
88.23,98.44,23.5,487.09,6,1,1,1,1073,1
25.86,62.54,13.11,218.87,1,0,0,0,784,0
